nombre,artista,posicion,fecha_subida,fecha_lanzamiento,reproducciones,titulo,canal,fecha_publicacion,vistas
Según Quién,Maluma,29,2024-07-10,2023-08-25,82.0,,,,
Oe Bebé,Blessd,30,2024-07-10,2024-06-05,72.0,,,,
Una Vida Pasada,Camilo,31,2024-07-10,2024-05-23,75.0,,,,
Normal,Feid,32,2024-07-10,2022-09-14,80.0,,,,
Monastery,Ryan Castro,33,2024-07-10,2021-11-12,74.0,,,,
Es un Secreto,Plan B,34,2024-07-10,2010-07-20,84.0,,,,
Borro Cassette,Maluma,35,2024-07-10,2015-10-30,81.0,,,,
Ferxxo 100,Feid,36,2024-07-10,2022-09-14,77.0,,,,
LA CANCIÓN,J Balvin,37,2024-07-10,2019-06-28,83.0,,,,
Dile a Tu Amiga,Dalmata,38,2024-07-10,2011-12-13,68.0,,,,
La Diabla,Xavi,39,2024-07-10,2023-11-30,86.0,,,,
No Se Va,Morat,40,2024-07-10,2018-10-25,77.0,,,,
Dile,Don Omar,41,2024-07-10,2003-01-01,82.0,,,,
LA FALDA,Myke Towers,42,2024-07-10,2023-09-18,85.0,,,,
WYA REMIX RED,J Abdiel,43,2024-07-10,2024-05-10,80.0,,,,
Jordan,Ryan Castro,44,2024-07-10,2022-05-24,77.0,,,,
Hey Mor,Ozuna,45,2024-07-10,2022-10-07,79.0,,,,
Mi Palabra Contra la de Ellos - En Vivo,Luis Alfonso,46,2024-07-10,2023-03-23,67.0,,,,
Pa' Que Retozen,Tego Calderón,47,2024-07-10,2003-07-01,79.0,,,,
PROVENZA,KAROL G,48,2024-07-10,2023-02-24,81.0,,,,
Morena,Beéle,49,2024-07-10,2023-11-09,72.0,,,,
Solos (feat. Plan B),Tony Dize,50,2024-07-10,2009-11-09,75.0,,,,
Like Crazy,Jimin,1,2024-07-10,2023-03-24,88.0,,,,
Smeraldo Garden Marching Band (feat. Loco),Jimin,2,2024-07-10,2024-06-28,91.0,,,,
Seven (feat. Latto) (Explicit Ver.),Jung Kook,3,2024-07-10,2023-11-03,85.0,,,,
Supernatural,NewJeans,4,2024-07-10,2024-06-21,81.0,,,,
Closer Than This,Jimin,5,2024-07-10,2023-12-22,85.0,,,,
Like Crazy (English Version),Jimin,6,2024-07-10,2023-03-24,74.0,,,,
Sticky,KISS OF LIFE,7,2024-07-10,2024-07-01,73.0,,,,
Set Me Free Pt.2,Jimin,8,2024-07-10,2023-03-17,78.0,,,,
How Sweet,NewJeans,9,2024-07-10,2024-05-24,84.0,,,,
Small girl (feat. D.O.),Lee Young Ji,10,2024-07-10,2024-06-21,75.0,,,,
Standing Next to You,Jung Kook,11,2024-07-10,2023-11-03,89.0,,,,
3D (feat. Jack Harlow),Jung Kook,12,2024-07-10,2023-10-02,78.0,,,,
Supernova,aespa,13,2024-07-10,2024-05-27,75.0,,,,
Magnetic,ILLIT,14,2024-07-10,2024-03-25,89.0,,,,
Bubble Gum,NewJeans,15,2024-07-10,2024-05-24,80.0,,,,
Right Now,NewJeans,16,2024-07-10,2024-06-21,76.0,,,,
Armageddon,aespa,17,2024-07-10,2024-05-27,79.0,,,,
Warmth,Lim Young Woong,18,2024-07-10,2024-05-06,65.0,,,,
Home,Lim Young Woong,19,2024-07-10,2024-05-06,65.0,,,,
Never Let Go,Jung Kook,20,2024-07-10,2024-06-07,90.0,,,,
Do or Die,Lim Young Woong,21,2024-07-10,2023-10-09,62.0,,,,
Grain of Sand,Lim Young Woong,22,2024-07-10,2023-06-05,61.0,,,,
踊り子,Vaundy,23,2024-07-10,2023-11-15,69.0,,,,
London Boy,Lim Young Woong,24,2024-07-10,2022-11-15,60.0,,,,
MILLION DOLLAR BABY,Tommy Richman,25,2024-07-10,2024-04-26,94.0,,,,
Boom Boom Bass,RIIZE,26,2024-07-10,2024-06-17,67.0,,,,
BIRDS OF A FEATHER,Billie Eilish,27,2024-07-10,2024-05-17,98.0,,,,
Espresso,Sabrina Carpenter,28,2024-07-10,2024-04-12,99.0,,,,
Polaroid,Lim Young Woong,29,2024-07-10,2022-11-15,58.0,,,,
Love Me Again,V,30,2024-07-10,2023-08-11,87.0,,,,
If We Ever Meet Again,Lim Young Woong,31,2024-07-10,2022-05-02,57.0,,,,
Cosmic,Red Velvet,32,2024-07-10,2024-06-24,72.0,,,,
SPOT!,ZICO,33,2024-07-10,2024-04-26,84.0,,,,
Sudden Shower,ECLIPSE,34,2024-07-10,2024-04-08,78.0,,,,
Please Please Please,Sabrina Carpenter,35,2024-07-10,2024-06-06,98.0,,,,
T.B.H,QWER,36,2024-07-10,2024-04-01,62.0,,,,
Rockstar,LISA,37,2024-07-10,2024-06-27,90.0,,,,
Super Shy,NewJeans,38,2024-07-10,2023-07-07,81.0,,,,
"If I’m S, Can You Be My N?",TWS,39,2024-07-10,2024-06-24,67.0,,,,
Not Like Us,Kendrick Lamar,40,2024-07-10,2024-05-04,96.0,,,,
Hype Boy,NewJeans,41,2024-07-10,2022-08-01,78.0,,,,
New Jeans,NewJeans,42,2024-07-10,2023-07-07,77.0,,,,
Rainbow,Lim Young Woong,43,2024-07-10,2022-05-02,55.0,,,,
Heaven,TAEYEON,44,2024-07-10,2024-07-08,52.0,,,,
FRI(END)S,V,45,2024-07-10,2024-03-15,89.0,,,,
ABCD,NAYEON,46,2024-07-10,2024-06-14,67.0,,,,
"Our Blues, Our Life",Lim Young Woong,47,2024-07-10,2022-05-02,55.0,,,,
Ditto,NewJeans,48,2024-07-10,2022-12-19,78.0,,,,
ETA,NewJeans,49,2024-07-10,2023-07-21,78.0,,,,
FOREVER,BABYMONSTER,50,2024-07-10,2024-07-01,55.0,,,,
Si Antes Te Hubiera Conocido,KAROL G,1,2024-07-10,2024-06-21,90.0,,,,
Mirame,Blessd,2,2024-07-10,2024-04-17,82.0,,,,
REAL GANGSTA LOVE,Trueno,3,2024-07-10,2024-05-23,91.0,,,,
LUNA,Feid,4,2024-07-10,2023-12-01,90.0,,,,
SORRY 4 THAT MUCH,Feid,5,2024-07-10,2024-06-07,87.0,,,,
Gata Only,FloyyMenor,6,2024-07-10,2024-02-02,96.0,,,,
Es un Secreto,Plan B,7,2024-07-10,2010-07-20,84.0,,,,
Brickell,Feid,8,2024-07-10,2024-04-10,83.0,,,,
PERRO NEGRO,Bad Bunny,9,2024-07-10,2023-10-13,87.0,,,,
Santa,Rvssian,10,2024-07-10,2024-04-03,84.0,,,,
AMARGURA,KAROL G,11,2024-07-10,2023-02-24,86.0,,,,
QLONA,KAROL G,12,2024-07-10,2023-08-10,86.0,,,,
offline,Young Miko,13,2024-07-10,2024-04-05,85.0,,,,
La Bachata,Manuel Turizo,14,2024-07-10,2023-03-17,85.0,,,,
SI NO ES CONTIGO,Cris Mj,15,2024-07-10,2024-05-23,88.0,,,,
Orion,Boza,16,2024-07-10,2024-05-29,79.0,,,,
MI EX TENÍA RAZÓN,KAROL G,17,2024-07-10,2023-08-10,83.0,,,,
Feliz Cumpleaños Ferxxo,Feid,18,2024-07-10,2022-09-14,82.0,,,,
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,19,2024-07-10,2024-05-17,83.0,,,,
Primera Cita,Carin Leon,20,2024-07-10,2023-05-19,84.0,,,,
LA CANCIÓN,J Balvin,21,2024-07-10,2019-06-28,83.0,,,,
CLASSY 101,Feid,22,2024-07-10,2023-12-01,82.0,,,,
LA FALDA,Myke Towers,23,2024-07-10,2023-09-18,85.0,,,,
ADIVINO,Myke Towers,24,2024-07-10,2024-04-25,88.0,,,,
Borro Cassette,Maluma,25,2024-07-10,2015-10-30,81.0,,,,
Normal,Feid,26,2024-07-10,2022-09-14,80.0,,,,
Según Quién,Maluma,27,2024-07-10,2023-08-25,82.0,,,,
Piel,Tiago PZK,28,2024-07-10,2024-07-04,60.0,,,,
Rara Vez,Taiu,29,2024-07-10,2023-02-08,81.0,,,,
Una Vida Pasada,Camilo,30,2024-07-10,2024-05-23,75.0,,,,
Todo Cambió,Camila,31,2024-07-10,2006-01-01,80.0,,,,
Dile,Don Omar,32,2024-07-10,2003-01-01,82.0,,,,
Cúrame,Rauw Alejandro,33,2024-07-10,2021-12-10,81.0,,,,
Columbia,Quevedo,34,2024-07-10,2023-07-07,83.0,,,,
Es Por Ti,Juanes,35,2024-07-10,2002-01-01,78.0,,,,
LA INOCENTE,Mora,36,2024-07-10,2022-04-01,80.0,,,,
A Mí,Rels B,37,2024-07-10,2019-02-21,80.0,,,,
MOJABI GHOST,Tainy,38,2024-07-10,2023-06-29,80.0,,,,
Mamichula - con Nicki Nicole,Trueno,39,2024-07-10,2020-07-23,80.0,,,,
Desesperados,Rauw Alejandro,40,2024-07-10,2021-12-10,82.0,,,,
Ya No Somos Ni Seremos,Christian Nodal,41,2024-07-10,2022-02-18,81.0,,,,
El Merengue,Marshmello,42,2024-07-10,2023-11-03,80.0,,,,
Tiroteo - Remix,Marc Seguí,43,2024-07-10,2021-04-01,80.0,,,,
Por Que Te Demoras?,Plan B,44,2024-07-10,2010-07-20,76.0,,,,
La Curiosidad,Jay Wheeler,45,2024-07-10,2020-06-12,81.0,,,,
El Perdedor,Aventura,46,2024-07-10,2006-12-19,78.0,,,,
Ohnana,Kapo,47,2024-07-10,2024-06-06,75.0,,,,
Si Estuviésemos Juntos,Bad Bunny,48,2024-07-10,2018-12-23,79.0,,,,
La Diabla,Xavi,49,2024-07-10,2023-11-30,86.0,,,,
Please Please Please,Sabrina Carpenter,50,2024-07-10,2024-06-06,98.0,,,,
Si Antes Te Hubiera Conocido,KAROL G,1,2024-07-10,2024-06-21,90.0,,,,
Goteras,Omar Montes,2,2024-07-10,2024-06-27,74.0,,,,
REAL GANGSTA LOVE,Trueno,3,2024-07-10,2024-05-23,91.0,,,,
BADGYAL,SAIKO,4,2024-07-10,2024-04-26,83.0,,,,
LA REINA,Lola Indigo,5,2024-07-10,2024-06-13,76.0,,,,
Potra Salvaje - Hard Remix,Isabel Aaiún,6,2024-07-10,2023-10-14,77.0,,,,
ADIVINO,Myke Towers,7,2024-07-10,2024-04-25,88.0,,,,
Ohnana,Kapo,8,2024-07-10,2024-06-06,75.0,,,,
FRIKI,Gonzy,9,2024-07-10,2024-04-18,76.0,,,,
Gata Only,FloyyMenor,10,2024-07-10,2024-02-02,96.0,,,,
Santa,Rvssian,11,2024-07-10,2024-04-03,84.0,,,,
Rapido (with Cris Mj),Dei V,12,2024-07-10,2024-06-14,78.0,,,,
LA FALDA,Myke Towers,13,2024-07-10,2023-09-18,85.0,,,,
LUNA,Feid,14,2024-07-10,2023-12-01,90.0,,,,
COMUNA 3,JC Reyes,15,2024-07-10,2024-05-09,74.0,,,,
APAGA EL CEL,FloyyMenor,16,2024-07-10,2024-05-17,85.0,,,,
X'CLUSIVO - REMIX,Gonzy,17,2024-07-10,2024-02-29,78.0,,,,
1000COSAS,Lola Indigo,18,2024-07-10,2024-03-07,76.0,,,,
El Conjuntito,El Bobe,19,2024-07-10,2024-03-22,76.0,,,,
La Bachata,Manuel Turizo,20,2024-07-10,2023-03-17,85.0,,,,
EL PANTALON - RUMBAS,Omar Montes,21,2024-07-10,2024-05-30,71.0,,,,
WYA REMIX RED,J Abdiel,22,2024-07-10,2024-05-10,80.0,,,,
Columbia,Quevedo,23,2024-07-10,2023-07-07,83.0,,,,
Martini,Dei V,24,2024-07-10,2024-06-14,68.0,,,,
Maquillaje - Remix,Renn,25,2024-07-10,2024-05-30,75.0,,,,
FARDOS,JC Reyes,26,2024-07-10,2024-02-16,74.0,,,,
Suano,NTG,27,2024-07-10,2024-03-24,75.0,,,,
Cuando Te Vi | CROSSOVER #5,Big One,28,2024-07-10,2024-06-27,77.0,,,,
4TO 23,Aitana,29,2024-07-10,2024-07-04,64.0,,,,
El Merengue,Marshmello,30,2024-07-10,2023-11-03,80.0,,,,
Lo Que Tiene,Morad,31,2024-07-10,2024-03-08,78.0,,,,
Hay Lupita,Megan Koffe,32,2024-07-10,2024-06-19,64.0,,,,
BBY BOO - REMIX,iZaak,33,2024-07-10,2024-03-27,83.0,,,,
YO LO SOÑÉ,SAIKO,34,2024-07-10,2024-04-26,69.0,,,,
CRUSH,Sky Rompiendo,35,2024-07-10,2023-10-26,75.0,,,,
SORRY 4 THAT MUCH,Feid,36,2024-07-10,2024-06-07,87.0,,,,
Guay,Ozuna,37,2024-07-10,2024-04-18,77.0,,,,
SI NO ES CONTIGO,Cris Mj,38,2024-07-10,2024-05-23,88.0,,,,
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión,39,2024-07-10,2024-03-28,78.0,,,,
Diabólica,Cris Mj,40,2024-07-10,2023-11-09,76.0,,,,
LA CAPI,Myke Towers,41,2024-07-10,2023-09-18,73.0,,,,
TU$$I (with Dei V),YOVNGCHIMI,42,2024-07-10,2023-12-08,76.0,,,,
QLONA,KAROL G,43,2024-07-10,2023-08-10,86.0,,,,
RUEDA,Rvfv,44,2024-07-10,2024-05-31,66.0,,,,
Trending Remix (with Myke Towers),Dei V,45,2024-07-10,2024-06-14,64.0,,,,
Potra Salvaje,Isabel Aaiún,46,2024-07-10,2024-02-09,59.0,,,,
Manos Rotas,DELLAFUENTE,47,2024-07-10,2023-11-16,74.0,,,,
AMARGURA,KAROL G,48,2024-07-10,2023-02-24,86.0,,,,
2xLL,JC Reyes,49,2024-07-10,2024-07-05,58.0,,,,
El Patio,Pepe y Vizio,50,2024-07-10,2022-07-15,71.0,,,,
Not Like Us,Kendrick Lamar,1,2024-07-10,2024-05-04,96.0,,,,
Please Please Please,Sabrina Carpenter,2,2024-07-10,2024-06-06,98.0,,,,
A Bar Song (Tipsy),Shaboozey,3,2024-07-10,2024-05-31,86.0,,,,
BIRDS OF A FEATHER,Billie Eilish,4,2024-07-10,2024-05-17,98.0,,,,
Espresso,Sabrina Carpenter,5,2024-07-10,2024-04-12,99.0,,,,
I Had Some Help (Feat. Morgan Wallen),Post Malone,6,2024-07-10,2024-05-10,95.0,,,,
"Good Luck, Babe!",Chappell Roan,7,2024-07-10,2024-04-05,94.0,,,,
MILLION DOLLAR BABY,Tommy Richman,8,2024-07-10,2024-04-26,94.0,,,,
28,Zach Bryan,9,2024-07-10,2024-07-04,78.0,,,,
Lies Lies Lies,Morgan Wallen,10,2024-07-10,2024-07-05,77.0,,,,
Too Sweet,Hozier,11,2024-07-10,2024-03-22,89.0,,,,
HOT TO GO!,Chappell Roan,12,2024-07-10,2023-09-22,88.0,,,,
Pink Skies,Zach Bryan,13,2024-07-10,2024-05-24,89.0,,,,
Beautiful Things,Benson Boone,14,2024-07-10,2024-04-05,90.0,,,,
Tough,Quavo,15,2024-07-10,2024-07-03,83.0,,,,
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,16,2024-07-10,2023-08-25,88.0,,,,
Like That,Future,17,2024-07-10,2024-03-22,90.0,,,,
DEVIL IS A LIE,Tommy Richman,18,2024-07-10,2024-06-14,86.0,,,,
LUNCH,Billie Eilish,19,2024-07-10,2024-05-17,95.0,,,,
Fortnight (feat. Post Malone),Taylor Swift,20,2024-07-10,2024-04-18,91.0,,,,
Stick Season,Noah Kahan,21,2024-07-10,2022-10-14,90.0,,,,
Cowgirls (feat. ERNEST),Morgan Wallen,22,2024-07-10,2023-03-03,86.0,,,,
Red Wine Supernova,Chappell Roan,23,2024-07-10,2023-09-22,87.0,,,,
NIGHTS LIKE THIS,The Kid LAROI,24,2024-07-10,2023-11-10,84.0,,,,
Pink Pony Club,Chappell Roan,25,2024-07-10,2023-09-22,84.0,,,,
Something in the Orange,Zach Bryan,26,2024-07-10,2022-04-22,86.0,,,,
American Nights,Zach Bryan,27,2024-07-10,2024-07-04,75.0,,,,
Better Days (feat. John Mayer),Zach Bryan,28,2024-07-10,2024-07-04,73.0,,,,
Lose Control,Teddy Swims,29,2024-07-10,2023-09-15,90.0,,,,
Mamushi (feat. Yuki Chiba),Megan Thee Stallion,30,2024-07-10,2024-06-28,79.0,,,,
Austin (Boots Stop Workin'),Dasha,31,2024-07-10,2024-02-16,91.0,,,,
Last Night,Morgan Wallen,32,2024-07-10,2023-03-03,83.0,,,,
you look like you love me (feat. Riley Green),Ella Langley,33,2024-07-10,2024-06-21,80.0,,,,
Heading South,Zach Bryan,34,2024-07-10,2019-09-30,85.0,,,,
Houdini,Eminem,35,2024-07-10,2024-05-31,94.0,,,,
See You Again (feat. Kali Uchis),"Tyler, The Creator",36,2024-07-10,2017-07-21,89.0,,,,
Pour Me A Drink (Feat. Blake Shelton),Post Malone,37,2024-07-10,2024-06-21,85.0,,,,
Sun to Me,Zach Bryan,38,2024-07-10,2022-05-20,83.0,,,,
Stargazing,Myles Smith,39,2024-07-10,2024-05-10,92.0,,,,
CHIHIRO,Billie Eilish,40,2024-07-10,2024-05-17,93.0,,,,
You Proof,Morgan Wallen,41,2024-07-10,2023-03-03,83.0,,,,
Tobey (feat. Big Sean and BabyTron),Eminem,42,2024-07-10,2024-07-02,81.0,,,,
Gata Only,FloyyMenor,43,2024-07-10,2024-02-02,96.0,,,,
I Can Do It With a Broken Heart,Taylor Swift,44,2024-07-10,2024-04-18,87.0,,,,
Smeraldo Garden Marching Band (feat. Loco),Jimin,45,2024-07-10,2024-06-28,91.0,,,,
Thinkin’ Bout Me,Morgan Wallen,46,2024-07-10,2023-03-03,85.0,,,,
End of Beginning,Djo,47,2024-07-10,2022-09-16,93.0,,,,
Slow It Down,Benson Boone,48,2024-07-10,2024-04-05,89.0,,,,
euphoria,Kendrick Lamar,49,2024-07-10,2024-04-30,88.0,,,,
Cruel Summer,Taylor Swift,50,2024-07-10,2019-08-23,92.0,,,,
Imagine,Carbonne,1,2024-07-10,2024-05-03,82.0,,,,
SPIDER,GIMS,2,2024-07-10,2024-05-10,82.0,,,,
Gata Only,FloyyMenor,3,2024-07-10,2024-02-02,96.0,,,,
Hakayet,VEN1,4,2024-07-10,2023-11-20,74.0,,,,
Aucune attache,KeBlack,5,2024-07-10,2024-02-02,76.0,,,,
Wayeh,THEODORT,6,2024-07-10,2024-05-24,72.0,,,,
Espresso,Sabrina Carpenter,7,2024-07-10,2024-04-12,99.0,,,,
Mélanine,Heuss L'enfoiré,8,2024-07-10,2024-06-14,65.0,,,,
Petit génie,Jungeli,9,2024-07-10,2023-08-04,78.0,,,,
Boucan (feat. Franglish),KeBlack,10,2024-07-10,2024-04-25,77.0,,,,
Beautiful Things,Benson Boone,11,2024-07-10,2024-04-05,90.0,,,,
Dougie,K2S,12,2024-07-10,2024-06-14,66.0,,,,
Confidences,Vacra,13,2024-07-10,2024-05-09,73.0,,,,
Position,Franglish,14,2024-07-10,2024-02-15,76.0,,,,
The Sound of Silence - CYRIL Remix,Disturbed,15,2024-07-10,2024-02-02,86.0,,,,
Stumblin' In,CYRIL,16,2024-07-10,2023-11-10,88.0,,,,
I Don't Wanna Wait,David Guetta,17,2024-07-10,2024-04-05,90.0,,,,
I love you,Dadju,18,2024-07-10,2024-02-16,68.0,,,,
MAMI WATA,Gazo,19,2024-07-10,2023-12-01,75.0,,,,
GARS DU ZOO,UZI,20,2024-07-10,2024-03-01,72.0,,,,
Oh qu'elle est belle,Jul,21,2024-07-10,2024-01-19,72.0,,,,
i like the way you kiss me,Artemas,22,2024-07-10,2024-03-19,95.0,,,,
TI TI TI,Gradur,23,2024-07-10,2024-06-14,69.0,,,,
Tu connais,Werenoi,24,2024-07-10,2023-09-21,71.0,,,,
Belong Together,Mark Ambor,25,2024-07-10,2024-02-16,91.0,,,,
Parler tout bas,Bouss,26,2024-07-10,2024-05-01,65.0,,,,
Si No Estás,iñigo quintero,27,2024-07-10,2022-09-23,83.0,,,,
Training Season,Dua Lipa,28,2024-07-10,2024-05-03,82.0,,,,
Faut pas,PLK,29,2024-07-10,2024-02-01,71.0,,,,
Casanova,Soolking,30,2024-07-10,2023-07-06,76.0,,,,
Michael Jordan,DA Uzi,31,2024-07-10,2024-03-08,72.0,,,,
FLASHBACK,Favé,32,2024-07-10,2023-10-13,70.0,,,,
Move,Adam Port,33,2024-07-10,2024-06-07,85.0,,,,
Nous on sait,Pierre Garnier,34,2024-07-10,2024-06-07,63.0,,,,
Dolce Camara,Booba,35,2024-07-10,2024-02-08,67.0,,,,
Bolide allemand,SDM,36,2024-07-10,2022-12-02,72.0,,,,
Mes Lovés,Ponko,37,2024-07-10,2024-06-21,68.0,,,,
Avec classe (feat. Aya Nakamura & Trinix),Corneille,38,2024-07-10,2024-02-02,72.0,,,,
Stargazing,Myles Smith,39,2024-07-10,2024-05-10,92.0,,,,
Temps en temps,Zola,40,2024-07-10,2024-02-09,66.0,,,,
LAISSE MOI,KeBlack,41,2024-07-10,2023-09-08,69.0,,,,
Too Sweet,Hozier,42,2024-07-10,2024-03-22,89.0,,,,
The Door,Teddy Swims,43,2024-07-10,2023-09-15,85.0,,,,
BIRDS OF A FEATHER,Billie Eilish,44,2024-07-10,2024-05-17,98.0,,,,
LOCO,GIMS,45,2024-07-10,2024-01-25,62.0,,,,
Lose Control,Teddy Swims,46,2024-07-10,2023-09-15,90.0,,,,
No lo sé,Lacrim,47,2024-07-10,2024-06-14,64.0,,,,
Saiyan,Heuss L'enfoiré,48,2024-07-10,2023-06-30,67.0,,,,
Maudit,Werenoi,49,2024-07-10,2024-02-16,69.0,,,,
42,Aya Nakamura,50,2024-07-10,2024-06-19,68.0,,,,
"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,1,2024-07-10,2024-07-02,69.0,,,,
"Sajni (From ""Laapataa Ladies"")",Ram Sampath,2,2024-07-10,2024-02-12,83.0,,,,
"Aasa Kooda - From ""Think Indie""",Sai Abhyankkar,3,2024-07-10,2024-06-13,75.0,,,,
Suniyan Suniyan,Juss,4,2024-07-10,2024-04-12,77.0,,,,
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Mohammad Faiz,5,2024-07-10,2024-05-24,66.0,,,,
"Soni Soni (From ""Ishq Vishk Rebound"")",Darshan Raval,6,2024-07-10,2024-05-24,78.0,,,,
IDK HOW,Karan Aujla,7,2024-07-10,2024-06-26,71.0,,,,
nadaaniyan,Akshath,8,2024-07-10,2024-05-19,75.0,,,,
"Satranga (From ""ANIMAL"")",Arijit Singh,9,2024-07-10,2023-10-27,80.0,,,,
Pehle Bhi Main,Vishal Mishra,10,2024-07-10,2023-11-24,79.0,,,,
Soulmate,Badshah,11,2024-07-10,2024-03-18,79.0,,,,
Softly,Karan Aujla,12,2024-07-10,2023-08-18,76.0,,,,
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,13,2024-07-10,2019-05-31,74.0,,,,
Illuminati,Sushin Shyam,14,2024-07-10,2024-04-19,72.0,,,,
Winning Speech,Karan Aujla,15,2024-07-10,2024-05-16,78.0,,,,
Husn,Anuv Jain,16,2024-07-10,2023-12-01,78.0,,,,
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,17,2024-07-10,2024-01-19,78.0,,,,
"Naina (From ""Crew"")",Diljit Dosanjh,18,2024-07-10,2024-03-05,80.0,,,,
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,19,2024-07-10,2024-02-02,77.0,,,,
Paon Ki Jutti,Jyoti Nooran,20,2024-07-10,2024-05-06,75.0,,,,
Chaleya,Anirudh Ravichander,21,2024-07-10,2023-09-05,74.0,,,,
"Tainu Khabar Nahi - From ""Munjya""",Sachin-Jigar,22,2024-07-10,2024-05-31,72.0,,,,
Apna Bana Le,Sachin-Jigar,23,2024-07-10,2022-12-06,71.0,,,,
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Vishal Mishra,24,2024-07-10,2023-03-17,76.0,,,,
Heeriye (feat. Arijit Singh),Jasleen Royal,25,2024-07-10,2023-07-25,77.0,,,,
"Tu Hain Toh (From ""Mr. And Mrs. Mahi"")",Bunny,26,2024-07-10,2024-05-24,69.0,,,,
Suhagan,Tanishk Bagchi,27,2024-07-10,2024-07-05,56.0,,,,
Tum Se Hi,Pritam,28,2024-07-10,2007-09-21,74.0,,,,
O Maahi,Pritam,29,2024-07-10,2023-12-20,72.0,,,,
"Humdard (From ""Ek Villain"")",Arijit Singh,30,2024-07-10,2020-05-19,72.0,,,,
Ishq,Faheem Abdullah,31,2024-07-10,2024-05-25,61.0,,,,
Jagga Jatt,Ikka,32,2024-07-10,2024-06-05,73.0,,,,
One Love,Shubh,33,2024-07-10,2023-08-18,77.0,,,,
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,34,2024-07-10,2024-05-15,67.0,,,,
Cheques,Shubh,35,2024-07-10,2023-05-19,77.0,,,,
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,36,2024-07-10,2024-05-15,66.0,,,,
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,37,2024-07-10,2019-06-13,72.0,,,,
Pagal,Guru Randhawa,38,2024-07-10,2024-05-27,75.0,,,,
ANTIDOTE,Karan Aujla,39,2024-07-10,2024-06-26,69.0,,,,
Sang Rahiyo,Jasleen Royal,40,2024-07-10,2020-09-10,74.0,,,,
Tu hai kahan,AUR,41,2024-07-10,2023-10-16,75.0,,,,
House Of Lies,Ikka,42,2024-07-10,2024-06-05,61.0,,,,
Manjha,Vishal Mishra,43,2024-07-10,2020-03-17,75.0,,,,
MVP,Shubh,44,2024-07-10,2024-05-10,76.0,,,,
God Damn,Badshah,45,2024-07-10,2024-03-18,74.0,,,,
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,46,2024-07-10,2017-06-07,68.0,,,,
Espresso,Sabrina Carpenter,47,2024-07-10,2024-04-12,99.0,,,,
Asal Mein,Darshan Raval,48,2024-07-10,2020-02-18,74.0,,,,
Samjho Na,Aditya Rikhari,49,2024-07-10,2022-02-10,71.0,,,,
Bandana,Shubh,50,2024-07-10,2024-03-29,76.0,,,,
ライラック,Mrs. GREEN APPLE,1,2024-07-10,2024-04-11,78.0,,,,
I wonder,Da-iCE,2,2024-07-10,2024-04-17,76.0,,,,
コロンブス,Mrs. GREEN APPLE,3,2024-07-10,2024-06-11,75.0,,,,
Bling-Bang-Bang-Born,Creepy Nuts,4,2024-07-10,2024-01-07,83.0,,,,
幾億光年,Omoinotake,5,2024-07-10,2024-01-24,76.0,,,,
青と夏,Mrs. GREEN APPLE,6,2024-07-10,2019-10-01,73.0,,,,
ケセラセラ,Mrs. GREEN APPLE,7,2024-07-10,2023-07-04,73.0,,,,
Magnetic,ILLIT,8,2024-07-10,2024-03-25,89.0,,,,
UNDEAD,YOASOBI,9,2024-07-10,2024-07-01,70.0,,,,
ただ君に晴れ,ヨルシカ,10,2024-07-10,2018-05-09,75.0,,,,
ダンスホール,Mrs. GREEN APPLE,11,2024-07-10,2023-12-01,49.0,,,,
ロマンチシズム,Mrs. GREEN APPLE,12,2024-07-10,2019-10-01,72.0,,,,
夢幻,MY FIRST STORY,13,2024-07-10,2024-05-13,74.0,,,,
初恋キラー,乃紫,14,2024-07-10,2024-05-08,74.0,,,,
晩餐歌,tuki.,15,2024-07-10,2023-09-29,74.0,,,,
Supernatural,NewJeans,16,2024-07-10,2024-06-21,81.0,,,,
Magic,Mrs. GREEN APPLE,17,2024-07-10,2023-07-04,72.0,,,,
怪獣の花唄,Vaundy,18,2024-07-10,2020-05-27,73.0,,,,
Dear,Mrs. GREEN APPLE,19,2024-07-10,2024-05-19,73.0,,,,
地獄恋文,tuki.,20,2024-07-10,2024-04-16,73.0,,,,
Soranji,Mrs. GREEN APPLE,21,2024-07-10,2023-07-04,70.0,,,,
BON,Number_i,22,2024-07-10,2024-05-27,75.0,,,,
さよーならまたいつか！- Sayonara,Kenshi Yonezu,23,2024-07-10,2024-04-08,74.0,,,,
